country,scenario_id,scenario,eirm_score_0_100,recommendation
China,SCENARIO 1,sanctions actuelles,95.27,INVEST
India,SCENARIO 1,sanctions actuelles,54.96,WAIT
Turkmenistan,SCENARIO 1,sanctions actuelles,43.33,AVOID
Kazakhstan,SCENARIO 1,sanctions actuelles,32.3,AVOID
Russia,SCENARIO 1,sanctions actuelles,31.9,AVOID
China,SCENARIO 2,allegement partiel,96.02,INVEST
India,SCENARIO 2,allegement partiel,55.26,WAIT
Turkmenistan,SCENARIO 2,allegement partiel,43.78,AVOID
Russia,SCENARIO 2,allegement partiel,36.4,AVOID
Kazakhstan,SCENARIO 2,allegement partiel,33.05,AVOID
China,SCENARIO 3,normalisation complete,96.77,INVEST
India,SCENARIO 3,normalisation complete,55.26,WAIT
Turkmenistan,SCENARIO 3,normalisation complete,44.08,AVOID
Russia,SCENARIO 3,normalisation complete,41.65,AVOID
Kazakhstan,SCENARIO 3,normalisation complete,33.5,AVOID
